Rapat Proyek,Diskusi progres,TRUE,Kamis 30/05 10:00
Pres Klien,Siapkan materi,FALSE,Kamis 30/05 14:30
Review Dok,Cek spek teknis,TRUE,Kamis 30/05 09:00
Train Karyawan,Onboarding tim,TRUE,Kamis 30/05 11:00
Eval Kinerja,Nilai performa,FALSE,Kamis 30/05 16:00
Brainstorm Ide,Kembangkan produk,TRUE,Jumat 31/05 09:30
Fix Bug,Perbaiki modul,TRUE,Jumat 31/05 13:00
Analisis Jual,Lihat tren,FALSE,Jumat 31/05 10:00
Plan Pemasaran,Susun strategi,TRUE,Jumat 31/05 15:00
Koor Tim,Selaakan kerja,TRUE,Jumat 31/05 11:30
Dev Fitur,Coding notif,FALSE,Sabtu 01/06 09:00
Test Sistem,Uji end-to-end,TRUE,Sabtu 01/06 14:00
Lap Keuangan,Rekap transaksi,TRUE,Sabtu 01/06 10:30
Maint Server,Optimasi server,FALSE,Sabtu 01/06 12:00
Riset Pasar,Analisis pesaing,TRUE,Sabtu 01/06 16:30
Desain UI/UX,Buat prototipe,FALSE,Minggu 02/06 11:00
Integ API,Sambung layanan,TRUE,Minggu 02/06 13:30
Audit Data,Cek keamanan,TRUE,Minggu 02/06 09:45
Train Software,Ajarkan akuntansi,FALSE,Minggu 02/06 15:00
Konten Blog,Tulis artikel,TRUE,Minggu 02/06 10:15
Manaj Scrum,Daily stand-up,TRUE,Senin 03/06 09:00
Deploy Aplikasi,Rilis versi,TRUE,Senin 03/06 14:00
Buat Proposal,Susun investor,FALSE,Senin 03/06 11:00
Rekrut Karyawan,Wawancara posisi,TRUE,Senin 03/06 16:00
Analisis Pengguna,Kumpul feedback,TRUE,Senin 03/06 10:30
Optimasi DB,Cepatkan query,FALSE,Selasa 04/06 09:30
Migrasi Data,Pindah historis,TRUE,Selasa 04/06 13:00
Pengadaan Kantor,Beli alat tulis,TRUE,Selasa 04/06 10:00
Rapat Eksekutif,Bahas strategi,TRUE,Selasa 04/06 15:00
Susun Anggaran,Rencana dana,FALSE,Selasa 04/06 11:30
Support Harian,Tangani keluhan,TRUE,Rabu 05/06 09:00
Update Kebijakan,Revisi umum,TRUE,Rabu 05/06 14:00
Verif Akun,Cek registrasi,FALSE,Rabu 05/06 10:00
Plan Acara,Siapkan team build,TRUE,Rabu 05/06 16:00
Riset Teknologi,Pelajari terbaru,TRUE,Rabu 05/06 11:00
Lap Proyek,Susun ringkasan,FALSE,Kamis 06/06 09:30
Debug Kode,Perbaiki error,TRUE,Kamis 06/06 13:00
Train Komunikasi,Workshop skill,TRUE,Kamis 06/06 10:00
Monitor Web,Analisis traffic,FALSE,Kamis 06/06 15:00
Evaluasi Vendor,Nilai pemasok,TRUE,Kamis 06/06 11:30
Dev Pelaporan,Tambah fitur,FALSE,Jumat 07/06 09:00
Uji Aplikasi,Test penetrasi,TRUE,Jumat 07/06 14:00
Diskusi Pemasaran,Tentukan audiens,TRUE,Jumat 07/06 10:30
Susun Kontrak,Buat draf,FALSE,Jumat 07/06 12:00
Riset Keyword,Cari SEO,TRUE,Jumat 07/06 16:30
Desain Brosur,Buat promosi,FALSE,Sabtu 08/06 11:00
Jaringan Internal,Konfigurasi ulang,TRUE,Sabtu 08/06 13:30
Materi Training,Buat modul,TRUE,Sabtu 08/06 09:45
Sentimen Pelanggan,Analisis ulasan,FALSE,Sabtu 08/06 15:00
Ngoding java,ngoding java sampe subuh,FALSE,Sabtu 08/06 10:15
